Area Code,Area Code (M49),Area,Item Code,Item Code (CPC),Item,Element Code,Element,Unit,Y2022,Y2022F
2,'004,Afghanistan,1718,'F1718,Cereals excluding rice,71761,Emissions intensity,kg CO2eq/kg,0.0956,E
2,'004,Afghanistan,1718,'F1718,Cereals excluding rice,723113,Emissions (CO2eq) (AR5),kt,404.7561,E
2,'004,Afghanistan,1718,'F1718,Cereals excluding rice,5510,Production,t,4232671.6,E
2,'004,Afghanistan,27,'0113,Rice,71761,Emissions intensity,kg CO2eq/kg,0.9356,E
2,'004,Afghanistan,27,'0113,Rice,723113,Emissions (CO2eq) (AR5),kt,553.8682,E
2,'004,Afghanistan,27,'0113,Rice,5510,Production,t,592000,A
2,'004,Afghanistan,867,'21111.01,"Meat of cattle with the bone, fresh or chilled",71761,Emissions intensity,kg CO2eq/kg,20.7835,E
2,'004,Afghanistan,867,'21111.01,"Meat of cattle with the bone, fresh or chilled",723113,Emissions (CO2eq) (AR5),kt,1696.9594,E
2,'004,Afghanistan,867,'21111.01,"Meat of cattle with the bone, fresh or chilled",5510,Production,t,81649.23,I
2,'004,Afghanistan,882,'02211,Raw milk of cattle,71761,Emissions intensity,kg CO2eq/kg,3.9167,E
2,'004,Afghanistan,882,'02211,Raw milk of cattle,723113,Emissions (CO2eq) (AR5),kt,7621.4477,E
2,'004,Afghanistan,882,'02211,Raw milk of cattle,5510,Production,t,1945903.74,I
2,'004,Afghanistan,1017,'21116,"Meat of goat, fresh or chilled",71761,Emissions intensity,kg CO2eq/kg,25.7349,E
2,'004,Afghanistan,1017,'21116,"Meat of goat, fresh or chilled",723113,Emissions (CO2eq) (AR5),kt,1224.0071,E
2,'004,Afghanistan,1017,'21116,"Meat of goat, fresh or chilled",5510,Production,t,47562.08,I
2,'004,Afghanistan,1020,'02292,Raw milk of goats,71761,Emissions intensity,kg CO2eq/kg,5.4211,E
2,'004,Afghanistan,1020,'02292,Raw milk of goats,723113,Emissions (CO2eq) (AR5),kt,641.3821,E
2,'004,Afghanistan,1020,'02292,Raw milk of goats,5510,Production,t,118312.66,I
2,'004,Afghanistan,977,'21115,"Meat of sheep, fresh or chilled",71761,Emissions intensity,kg CO2eq/kg,15.6937,E
2,'004,Afghanistan,977,'21115,"Meat of sheep, fresh or chilled",723113,Emissions (CO2eq) (AR5),kt,1600.7531,E
2,'004,Afghanistan,977,'21115,"Meat of sheep, fresh or chilled",5510,Production,t,102000,E
2,'004,Afghanistan,982,'02291,Raw milk of sheep,71761,Emissions intensity,kg CO2eq/kg,6.9273,E
2,'004,Afghanistan,982,'02291,Raw milk of sheep,723113,Emissions (CO2eq) (AR5),kt,1124.0959,E
2,'004,Afghanistan,982,'02291,Raw milk of sheep,5510,Production,t,162269.88,I
2,'004,Afghanistan,1130,'02293,Raw milk of camel,71761,Emissions intensity,kg CO2eq/kg,4.9544,E
2,'004,Afghanistan,1130,'02293,Raw milk of camel,723113,Emissions (CO2eq) (AR5),kt,33.565,E
2,'004,Afghanistan,1130,'02293,Raw milk of camel,5510,Production,t,6774.81,I
2,'004,Afghanistan,1058,'21121,"Meat of chickens, fresh or chilled",71761,Emissions intensity,kg CO2eq/kg,0.4064,E
2,'004,Afghanistan,1058,'21121,"Meat of chickens, fresh or chilled",723113,Emissions (CO2eq) (AR5),kt,11.6998,E
2,'004,Afghanistan,1058,'21121,"Meat of chickens, fresh or chilled",5510,Production,t,28790.74,I
2,'004,Afghanistan,1062,'0231,"Hen eggs in shell, fresh",71761,Emissions intensity,kg CO2eq/kg,2.5058,E
2,'004,Afghanistan,1062,'0231,"Hen eggs in shell, fresh",723113,Emissions (CO2eq) (AR5),kt,54.035,E
2,'004,Afghanistan,1062,'0231,"Hen eggs in shell, fresh",5510,Production,t,21564.4,E
